Title,Year,Journal,Volume,Issue,Pages,Authors,Publisher,Abstract
A Robot-Based Play-Drama Intervention May Improve the Joint Attention and Functional Play Behaviors of Chinese-Speaking Preschoolers with Autism Spectrum Disorder: A Pilot Study,2020,Journal of Autism and Developmental Disorders,50,2,467-481,"So, W.-C. and Cheng, C.-H. and Lam, W.-Y. and Huang, Y. and Ng, K.-C. and Tung, H.-C. and Wong, W.",,"Children with autism spectrum disorder (ASD) have deficits in joint attention and play behaviors. We examined whether a robot-based play-drama intervention would promote these skills. Chinese-speaking preschool children were randomly assigned to an intervention group (N = 12) and a waitlist control group (N = 11). Children in the intervention group watched three robot dramas and engaged in role-plays with both robots and human experimenters over the course of 9 weeks. There were significant improvements in joint attention initiations and functional play behaviors in the intervention group. Parents of this group of children also reported less severe social impairments. It was therefore concluded that a robot-based play-drama intervention can enhance the joint attention and play behaviors of children with ASD. © 2019, Springer Science+Business Media, LLC, part of Springer Nature."
Robot dramas may improve joint attention of Chinese-speaking low-functioning children with autism: stepped wedge trials,2020,Disability and Rehabilitation: Assistive Technology,,,,"So, W.-C. and Cheng, C.-H. and Law, W.-W. and Wong, T. and Lee, C. and Kwok, F.-Y. and Lee, S.-H. and Lam, K.-Y.",,"Introduction: Children with autism spectrum disorder (ASD), especially those with low cognitive functioning, have deficits in joint attention. Previous research has found that these children are interested in engaging with social robots. Purpose: In the present study, we designed a robot drama intervention for promoting responses to joint attention abilities (RJA) of children with low-functioning autism (IQs < 70). Materials and methods: Using a stepped wedge design, Chinese-speaking children aged six to eight were randomly assigned to three tiers (N = 18). Children of all three tiers had comparable autism severity, language and cognitive function, and joint attention abilities. Tier 1 first received intervention, followed by Tiers 2 and 3. They watched six dramas in which social robots demonstrated RJA behaviours. Results: The RJA of children of all tiers improved after intervention and such improvement was maintained over time. Despite initiation of joint attention (IJA) not being explicitly taught, IJA of all children was found to improve after intervention. Conclusions: It was, therefore, concluded that a robot drama could enhance the joint attention of children with low-functioning ASD.Implications for rehabilitation In comparison to typically developing children, children with autism spectrum disorder (ASD), especially those with low cognitive functioning, have deficits in joint attention. Robot-based drama intervention program was developed to promote responses to joint attention (RJA) abilities of children with low-functioning autism (IQs < 70). Modelling RJA in robot dramas can promote RJA abilities in these children. An improvement in RJA also yielded an increase in the initiation of joint attention (IJA) abilities. Children with low-functioning autism might be able to extract the initiation of joint attention skills from the drama, even though these behaviours were not explicitly taught. © 2020 Informa UK Limited, trading as Taylor & Francis Group."
Using a social robot to teach gestural recognition and production in children with autism spectrum disorders,2018,Disability and Rehabilitation: Assistive Technology,13,6,527-539,"So, W.-C. and Wong, M.K.-Y. and Lam, C.K.-Y. and Lam, W.-Y. and Chui, A.T.-F. and Lee, T.-L. and Ng, H.-M. and Chan, C.-H. and Fok, D.C.-W.",,"While it has been argued that children with autism spectrum disorders are responsive to robot-like toys, very little research has examined the impact of robot-based intervention on gesture use. These children have delayed gestural development. We used a social robot in two phases to teach them to recognize and produce eight pantomime gestures that expressed feelings and needs. Compared to the children in the wait-list control group (N = 6), those in the intervention group (N = 7) were more likely to recognize gestures and to gesture accurately in trained and untrained scenarios. They also generalized the acquired recognition (but not production) skills to human-to-human interaction. The benefits and limitations of robot-based intervention for gestural learning were highlighted.Implications for Rehabilitation Compared to typically-developing children, children with autism spectrum disorders have delayed development of gesture comprehension and production. Robot-based intervention program was developed to teach children with autism spectrum disorders recognition (Phase I) and production (Phase II) of eight pantomime gestures that expressed feelings and needs. Children in the intervention group (but not in the wait-list control group) were able to recognize more gestures in both trained and untrained scenarios and generalize the acquired gestural recognition skills to human-to-human interaction. Similar findings were reported for gestural production except that there was no strong evidence showing children in the intervention group could produce gestures accurately in human-to-human interaction. © 2017, © 2017 Informa UK Limited, trading as Taylor & Francis Group."
Robot-based intervention may reduce delay in the production of intransitive gestures in Chinese-speaking preschoolers with autism spectrum disorder,2018,Molecular Autism,9,1,,"So, W.-C. and Wong, M.K.-Y. and Lam, W.-Y. and Cheng, C.-H. and Yang, J.-H. and Huang, Y. and Ng, P. and Wong, W.-L. and Ho, C.-L. and Yeung, K.-L. and Lee, C.-C.",,"Background: Past studies have shown that robot-based intervention was effective in improving gestural use in children with autism spectrum disorders (ASD). The present study examined whether children with ASD could catch up to the level of gestural production found in age-matched children with typical development and whether they showed an increase in verbal imitation after the completion of robot-based training. We also explored the cognitive and motor skills associated with gestural learning. Methods: Children with ASD were randomly assigned to two groups. Four- to 6-year-old children with ASD in the intervention group (N = 15) received four 30-min robot-based gestural training sessions. In each session, a social robot, NAO, narrated five stories and gestured (e.g., both hands clapping for an awesome expression). Children with ASD were told to imitate the gestures during training. Age-matched children with ASD in the wait-list control group (N = 15) and age-matched children with typical development (N = 15) received the gestural training after the completion of research. Standardized pretests and posttests (both immediate and delayed) were administered to assess the accuracy and appropriateness of gestural production in both training and novel stories. Children's language and communication abilities, gestural recognition skills, fine motor proficiencies, and attention skills were also examined. Results: Children with ASD in the intervention condition were more likely to produce accurate or appropriate intransitive gestures in training and novel stories than those in the wait-list control. The positive learning outcomes were maintained in the delayed posttests. The level of gestural production accuracy in children with ASD in the delayed posttest of novel stories was comparable to that in children with typical development, suggesting that children with ASD could catch up to the level of gestural production found in children with typical development. Children with ASD in the intervention condition were also more likely to produce verbal markers while gesturing than those in the wait-list control. Gestural recognition skills were found to significantly predict the learning of gestural production accuracy in the children with ASD, with such relation partially mediated via spontaneous imitation. Conclusions: Robot-based intervention may reduce the gestural delay in children with ASD in their early childhood. © 2018 The Author(s)."
Robot-based play-drama intervention may improve the narrative abilities        of Chinese-speaking preschoolers with autism spectrum disorder,2019,RESEARCH IN DEVELOPMENTAL DISABILITIES,95,,,"So, WC and Cheng, CH and Lam, WY and Wong, T and Law, WW and Huang, Y and Ng, KC and Tung, HC and Wong, W and So, Wing-Chee and Cheng, Chun-Ho and Lam, Wan-Yi and Wong, Tiffany and Law, Wing-Wun and Huang, Ying and Ng, Ka-Ching and Tung, Hiu-Ching and Wong, Wing",PERGAMON-ELSEVIER SCIENCE LTD,"Background: Children with autism spectrum disorder (ASD) have deficits in their narrative skills and gestural communication. Very few intervention studies have been conducted with the aim of improving these skills.        Aims: We examined whether children with ASD who received the robot-based drama intervention had better narrative abilities and gestured more often than their peers who did not receive the intervention.        Methods and procedures: Preschool children were randomly assigned to the intervention group (N = 13) and waitlist control group (N = 13). Children in the intervention group watched three robot dramas and engaged in roleplays with both robots and human experimenters. Children in both groups took the pre-tests, immediate post-tests, and, two week later, delayed post-tests, in which they narrated three stories.        Outcomes and results: There were significant improvements in various narrative measures, including narrative length, syntactic complexity, narrative structure, and cognitive inferences, in the intervention group. There was also an improvement in the average number of overall gestures per clause in this condition. These learning outcomes were maintained in the delayed post-test. These patterns were not found in the waitlist control group.        Conclusions and implications: A robot-based play-drama intervention can enhance the narrative abilities and gestural communication of children with ASD."
Who is a better teacher for children with autism? Comparison of learning        outcomes between robot-based and human-based interventions in gestural        production and recognition,2019,RESEARCH IN DEVELOPMENTAL DISABILITIES,86,,62-75,"So, WC and Wong, MKY and Lam, WY and Cheng, CH and Ku, SY and Lam, KY and Huang, Y and Wong, WL and So, Wing-Chee and Wong, Mir and a Kit-Yi and Lam, Wan-Yi and Cheng, Chun-Ho and Ku, Sin-Ying and Lam, Ka-Yee and Huang, Ying and Wong, Wai-Leung",PERGAMON-ELSEVIER SCIENCE LTD,"Background: Individuals with autism spectrum disorder (ASD) tend to show deficits in engaging with humans. Previous findings have shown that robot-based training improves the gestural recognition and production of children with ASD. It is not known whether social robots perform better than human therapists in teaching children with ASD.        Aims: The present study aims to compare the learning outcomes in children with ASD and intellectual disabilities from robot-based intervention on gestural use to those from human-based intervention.        Methods and procedures: Children aged six to 12 with low-functioning autism were randomly assigned to the robot group (N = 12) and human group (N = 11). In both groups, human experimenters or social robots engaged in daily life conversations and demonstrated to children 14 intransitive gestures in a highly-structured and standardized intervention protocol.        Outcomes and results: Children with ASD in the human group were as likely to recognize gestures and produce them accurately as those in the robot group in both training and new conversations. Their learning outcomes maintained for at least two weeks.        Conclusions and implications: The social cues found in the human-based intervention might not influence gestural learning. It does not matter who serves as teaching agents when the lessons are highly structured."
Robotica-Autismo Project: Technology for autistic children,2013,2013 IEEE 3RD PORTUGUESE MEETING IN BIOENGINEERING (ENBENG),,,,"Soares, F and Costal, S and Silva, S and Goncalves, N and Rodrigues, J and Santos, C and Pereira, AP and Moreira, MF and Soares, F. and Costal, S. and Silva, S. and Goncalves, N. and Rodrigues, J. and Santos, Cristina and Pereira, Ana Paula and Moreira, M. Fatima     GP IEEE",IEEE,This article presents the Robotica-Autismo research project which started in 2009 from a partnership with APPACDM (portuguese Association of Parents and Friends of Mentally Retarded Citizens). The main objective of the study is to promote the interaction and communication with children with Autism Spectrum Disorder (ASD) by using robots. Different approaches have been followed by the researchers enrolled in this project. Some studies are focused on using Lego robots to teach social and academic skills to children with ASD; other studies are dedicated to the detection of stereotyped movements in children with ASD using two different methods: the Kinect sensor and accelerometers. Recent work is related to the use of a humanoid robot that allows facial expressions to facilitate the emotion recognition and teaching facial expressions.
Socio-emotional development in high functioning children with Autism Spectrum Disorders using a humanoid robot,2019,Interaction Studies,20,2,205-233,"Soares, F.O. and Costa, S.C. and Santos, C.P. and Pereira, A.P.S. and Hiolle, A.R. and Silva, V.",,"The use of robots had already been proven to encourage the promotion of social interaction and skills lacking in children with Autism Spectrum Disorders (ASD), who typically have difficulties in recognizing facial expressions and emotions. The main goal of this research is to study the influence of a humanoid robot to develop socio-emotional skills in children with ASD. The children's performance in game scenarios aiming to develop facial expressions recognition skills is presented. Along the sessions, children who performed the game scenarios with the robot and the experimenter had a significantly better performance than the children who performed the game scenarios without the robot. The main conclusions of this research support that a humanoid robot is a useful tool to develop socio-emotional skills in the intervention of children with ASD, due to the engagement and positive learning outcome observed. © John Benjamins Publishing Company."
Robotic Social Environments: A Promising Platform for Autism Therapy,2020,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),12483,,232-245,"Soleiman, P. and Moradi, H. and Mehralizadeh, B. and Azizi, N. and Anjidani, F. and Pouretemad, H.R. and Arriaga, R.I.",,"Observational learning, especially in social environments, is considered an important part of the learning process in a human development. Unfortunately, children with autism lack this learning ability, especially in human social environments due to their deficiency in social interaction. Consequently, in this paper we present a pilot study in which we show that children with autism can learn through observing a Robotic Social Environment (RSE). The proposed RSE consisted of two parrot-like robots and a robotic ball to enable us to teach children with autism both social and nonsocial skills. The results on data from six high functioning children with autism show that the children learned an unknown skill, such as how to play with the robotic ball, through observing the robots. Furthermore, the results show that, despite limited capabilities of our robots for social interaction (i.e., voice-based social interaction), the children could understand the social characteristics, such as turn taking of the designed RSE. © 2020, Springer Nature Switzerland AG."
The effects of embodied rhythm and robotic interventions on the spontaneous and responsive verbal communication skills of children with Autism Spectrum Disorder (ASD): A further outcome of a pilot randomized controlled trial.,2016,Research in autism spectrum disorders,27,,73-87,Srinivasan SM and Eigsti IM and Gifford T and Bhat AN,,"The current manuscript is the second in a mini-series of manuscripts reporting the effects of alternative, movement-based, rhythm and robotic interventions on the social communication skills of 36 school-age children with ASD. This pilot randomized controlled trial compared the effects of 8-weeks of rhythm and robotic interventions to those of a standard-of-care, comparison intervention. The first manuscript reported intervention effects on the spontaneous and responsive social attention skills of children. In this manuscript, we report intervention effects on the spontaneous and responsive verbal communication skills of children. Communication skills were assessed within a standardized test of responsive communication during the pretest and posttest as well as using training-specific measures of social verbalization during early, mid, and late training sessions. The rhythm and comparison groups improved on the standardized test in the posttest compared to the pretest. The rhythm and robot groups increased levels of social verbalization across training sessions. Movement-based and stationary contexts afforded different types and amounts of communication in children with ASD. Overall, movement-based interventions are a promising tool to enhance verbal and non-verbal communication skills in children with ASD."
"The Effects of Rhythm and Robotic Interventions on the Imitation/Praxis, Interpersonal Synchrony, and Motor Performance of Children with Autism Spectrum Disorder (ASD): A Pilot Randomized Controlled Trial.",2015,Autism research and treatment,2015,,736516,Srinivasan SM and Kaur M and Park IK and Gifford TD and Marsh KL and Bhat AN,,"We assessed the effects of three interventions, rhythm, robotic, and standard-of-care, on the imitation/praxis, interpersonal synchrony, and overall motor performance of 36 children with Autism Spectrum Disorder (ASD) between 5 and 12 years of age. Children were matched on age, level of functioning, and services received, prior to random assignment to one of the three groups. Training was provided for 8 weeks with 4 sessions provided each week. We assessed generalized changes in motor skills from the pretest to the posttest using a standardized test of motor performance, the Bruininks-Oseretsky Test of Motor Proficiency, 2nd edition (BOT-2). We also assessed training-specific changes in imitation/praxis and interpersonal synchrony during an early and a late session. Consistent with the training activities practiced, the rhythm and robot groups improved on the body coordination composite of the BOT-2, whereas the comparison group improved on the fine manual control composite of the BOT-2. All three groups demonstrated improvements in imitation/praxis. The rhythm and robot groups also showed improved interpersonal synchrony performance from the early to the late session. Overall, socially embedded movement-based contexts are valuable in promoting imitation/praxis, interpersonal synchrony, and motor performance and should be included within the standard-of-care treatment for children with ASD."
Effect of interactions between a child and a robot on the imitation and praxis performance of typically devloping children and a child with autism: a preliminary study.,2013,Perceptual and motor skills,116,3,885-904,Srinivasan SM and Lynch KA and Bubela DJ and Gifford TD and Bhat AN,,"Interactions between a robot and a child (robot-child interactions) provide a unique context to engage children in whole body movements through a reciprocal imitation game. The effects of a novel, 8-session, robot-child interaction protocol on the imitation and praxis skills of 15 typically developing children and one child with autism between 4 and 7 years of age were examined. A quasi-experimental observational comparison of pretest and posttest performance was conducted. A task-specific robot imitation test and a standardized praxis measure were coded for changes in imitation and praxis errors at pretest and posttest. All children showed improvements in task-specific imitation and generalized praxis. Interpretation is limited by the lack of a control group. These findings serve as a foundation for further investigation of robot-child interactions as a potential training tool for children with dyspraxia."
The effects of robot-child interactions on imitation and praxis        performance of typically developing children and children with autism        spectrum disorders (ASDs) between 4 and 10 years of age,2011,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,33,,S41-S42,"Srinivasan, S and Lynch, K and Gifford, T and Bubela, D and Bhat, A and Srinivasan, Sudha and Lynch, Kathleen and Gifford, Timothy and Bubela, Deborah and Bhat, Anjana",HUMAN KINETICS PUBL INC,
A comparison of the effects of rhythm and robotic interventions on repetitive behaviors and affective states of children with Autism Spectrum Disorder (ASD),2015,Research in Autism Spectrum Disorders,18,,51-63,"Srinivasan, S.M. and Park, I.K. and Neelly, L.B. and Bhat, A.N.",,"Abstract Repetitive behaviors and poor affect regulation are commonly seen in children with Autism Spectrum Disorder (ASD). We compared the effects of two novel interventions - rhythm and robotic therapies, with those of a standard-of-care intervention, on the repetitive behaviors and affective states of 36 children with ASD between 5 and 12 years using a randomized controlled trial design. We coded for frequencies of sensory, negative, and stereotyped behaviors and the duration of positive, negative, and interested affective states in children during early, mid, and late training sessions. In terms of repetitive behaviors, in the early session, the rhythm and robot groups engaged in greater negative behaviors, whereas the comparison group engaged in greater sensory behaviors. With training, the rhythm group reduced negative behaviors whereas there were no training-related changes in the other groups. In terms of affective states, the rhythm and robot groups showed greater negative affect, whereas the comparison group demonstrated greater interested affect across all sessions. With training, the rhythm group showed a reduction in negative affect and an increase in interested affect whereas the robot group showed a reduction in positive affect. Overall, it appears that rhythm-based interventions are socially engaging treatment tools to target core impairments in autism. © 2015 Elsevier Ltd."
The effects of embodied rhythm and robotic interventions on the        spontaneous and responsive social attention patterns of children with        autism spectrum disorder (ASD): A pilot randomized controlled trial,2016,RESEARCH IN AUTISM SPECTRUM DISORDERS,27,,54-72,"Srinivasan, SM and Eigsti, IM and Neelly, L and Bhat, AN and Srinivasan, Sudha M. and Eigsti, Inge-Marie and Neelly, Linda and Bhat, Anjana N.",ELSEVIER SCI LTD,"We compared the effects of 8-weeks of rhythm and robotic interventions with those of a comparison, standard-of-care intervention, on the spontaneous and responsive social attention patterns of school-age children with autism spectrum disorder. Attention patterns were examined within a standardized pretest/posttest measure of joint attention (JA) and a training-specific social attention measure during early, mid, and late training sessions. The rhythm and comparison groups demonstrated improvements in JA. Social attention was greater in the rhythm followed by the robot and lastly the comparison group. The robot and comparison groups spent maximum time fixating on the robot and objects, respectively. Across sessions, the robot group decreased attention to the robot and increased attention to elsewhere. Overall, rhythmic movement contexts afford sustained social monitoring in children with autism. (C) 2016 Elsevier Ltd. All rights reserved."
Engaging students with profound and multiple disabilities using humanoid robots,2014,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),8514,,419-430,"St and en, P. and Brown, D. and Roscoe, J. and Hedgecock, J. and Stewart, D. and Galvez Trigo, M.J. and Elgajiji, E.",,"Engagement is the single best predictor of successful learning for children with intellectual disabilities yet achieving engagement with pupils who have profound or multiple disabilities (PMD) presents a challenge to educators. Robots have been used to engage children with autism but are they effective with pupils whose disabilities limit their ability to control other technology? Learning objectives were identified for eleven pupils with PMD and a humanoid robot was programmed to enable teachers to use it to help pupils achieve these objectives. These changes were evaluated with a series of eleven case studies where teacher-pupil dyads were observed during four planned video recorded sessions. Engagement was rated in a classroom setting and during the last session with the robot. Video recordings were analysed for duration of engagement and teacher assistance and number of goals achieved. Rated engagement was significantly higher with the robot than in the classroom. Observations of engagement, assistance and goal achievement remained at the same level throughout the sessions suggesting no reduction in the novelty factor. © 2014 Springer International Publishing."
Robotic animals might aid in the social development of children with autism,2008,HRI 2008 - Proceedings of the 3rd ACM/IEEE International Conference on Human-Robot Interaction: Living with Robots,,,271-278,"Stanton, C.M. and Kahn Jr., P.H. and Severson, R.L. and Ruckert, J.H. and Gill, B.T.",,"This study investigated whether a robotic dog might aid in the social development of children with autism. Eleven children diagnosed with autism (ages 5-8) interacted with the robotic dog AIBO and, during a different period within the same experimental session, a simple mechanical toy dog (Kasha), which had no ability to detect or respond to its physical or social environment. Results showed that, in comparison to Kasha, the children spoke more words to AIBO, and more often engaged in three types of behavior with AIBO typical of children without autism: verbal engagement, reciprocal interaction, and authentic interaction. In addition, we found suggestive evidence (with p values ranging from .07 to .09) that the children interacted more with AIBO, and, while in the AIBO session, engaged in fewer autistic behaviors. Discussion focuses on why robotic animals might benefit children with autism. Copyright 2008 ACM."
Robot-play therapy for improving prosocial behaviours in children with Autism Spectrum Disorders,2017,"2016 International Symposium on Micro-NanoMechatronics and Human Science, MHS 2016",,,,"Suzuki, R. and Lee, J.",,"Playing with Robot has become an effective therapy method for children with Autism Spectrum Disorders (ASD). In this study, we explore the prosocial behaviour of children with ASD through a musical play with a humanoid robot, NAO. The children participated in two different play platforms, Touch Body and Dancing with Me. The game scores and close proximity are measured to assess their understanding and prosocial behaviours. As merging the musical therapy into social robot system, children with ASD could show more playful and positive results in the therapy and promote prosocial behaviours. © 2016 IEEE."
NAO-dance therapy for children with ASD,2017,ACM/IEEE International Conference on Human-Robot Interaction,,,295-296,"Suzuki, R. and Lee, J. and Rudovic, O.",,"Children with Autism Spectrum Disorder (ASD) have very short attention span, and autism therapy requires the entertainment for longer interaction for them. Robots draw their attention to focus on the therapy and learn the social skills. In this paper, NAO is used for as part of a dance therapy for children with ASD. To explore the effectiveness, we compared three settings involving NAO, therapist and/or unfamiliar person, during the dance. Our results indicate that a robot can be an effective education agent for children with ASD, and in particular, as part of the dance therapy. © 2017 Authors."
Kaspar in the wild: Experiences from deploying a small humanoid robot in a nursery school for children with autism,2020,Paladyn,11,1,301-326,"Syrdal, D.S. and Dautenhahn, K. and Robins, B. and Karakosta, E. and Jones, N.C.",,"This article describes a long-term study evaluating the use of the humanoid robot Kaspar in a specialist nursery for children with autism. The robot was used as a tool in the hands of teachers or volunteers, in the absence of the research team on-site. On average each child spent 16.53 months in the study. Staff and volunteers at the nursery were trained in using Kaspar and were using it in their day-to-day activities in the nursery. Our study combines an ""in the wild""approach with a rigorous approach of collecting and including users' feedback during an iterative evaluation and design cycle of the robot. This article focuses on the design of the study and the results from several interviews with the robot's users. We also show results from the children's developmental assessments by the teachers prior to and after the study. Results suggest a marked beneficial effect for the children from interacting with Kaspar. We highlight the challenges of transferring experimental technologies like Kaspar from a research setting into everyday practice in general and making it part of the day-to-day running of a nursery school in particular. Feedback from users led subsequently to many changes being made to Kaspar's hardware and software. This type of invaluable feedback can only be gained in such long-term field studies. © 2020 Dag Sverre Syrdal et al., published by De Gruyter 2020."
"Human-Robot Interaction in Autism Treatment: A Case Study on Three Pairs        of Autistic Children as Twins, Siblings, and Classmates",2018,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,10,1,93-113,"Taheri, A and Meghdari, A and Alemi, M and Pouretemad, H and Taheri, Alireza and Meghdari, Ali and Alemi, Minoo and Pouretemad, Hamidreza",SPRINGER,"In this paper, three pairs of children with autism include a pair of twins, two siblings, and two classmates were enrolled in a 12-session robot-assisted group-games program. As many environmental factors were for the most part the same for the siblings as well as genetic factors for the twins, we were able to observe/compare the effect of the designed games on the participants individually and in paired-groups. The results indicated that all participants' autism severity decreased after the course of the program. Improvement in social skills, social participation/avoidance, and detrimental social behaviors were also observed in the participants with high-functioning autism with close to being large Cohen's d effect sizes. Moreover, based on the video coders' observations the joint attention, gaze scores toward the robot, and verbal communications of the paired-groups increased significantly over the treatment time (p < 0.05). However, in general, the designed program effect on the subjects' behavior seems to be different for participants from different points on the autism spectrum; and even the high-functioning subjects showed different potential behavioral progress."
Teaching music to children with autism: A social robotics challenge,2019,SCIENTIA IRANICA,26,1,40-58,"Taheri, A and Meghdari, A and Alemi, M and Pouretemad, HR and Taheri, A. and Meghdari, A. and Alemi, M. and Pouretemad, H. R.",SHARIF UNIV TECHNOLOGY,"Utilizing a humanoid social robot to systematically teach music to children with autism has not received enough attention to date. In this study, a novel robot-assisted music-based scenario was designed in order to: 1) teach fundamentals of music via a xylophone-/drum-player robot as a teacher assistant, and 2) improve social/cognitive skills through active music games in children with autism. The educational-therapeutic interventions were conducted in an eleven-session case study program on three high-functioning and one low-functioning children with autism taking into consideration the children's, parents', and therapists' experience during the program. The results indicated that, as a tool and facilitator, the NAO robot does have the ability to teach musical notes/rhythms to the participants with high-functioning autism. It was also observed that the severity of the participants' autism as well as the stress of the parents decreased somewhat during these sessions. Furthermore, noticeable improvements were seen in social/cognitive skills of all four participants as well as in the positive effect of this program on fine motor imitation skills of two subjects after the interventions. The progress reported from this preliminary exploratory study confirmed the potential benefits of using social robots and intelligent technologies as facilitators in music-teaching and cognitive-rehabilitation. (C) 2019 Sharif University of Technology. All rights reserved."
Impact of humanoid social robots on treatment of a pair of iranian autistic twins,2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),9388,,623-632,"Taheri, A. and Alemi, M. and Meghdari, A. and Pouretemad, H. and Basiri, N.M. and Poorgoldooz, P.",,"In recent years robots have been increasingly used in autism research. In this paper the effects of robot-assisted interventions on two seven year old autistic twin brothers, one of whom is high-functioning and the other low-functioning, are explored. To this end, 12 sessions of therapeutic scenarios were designed and presented to the autistic twin subjects in the presence of two robots, a therapist and their parents in individual and group modes. The results showed great potential benefits from using robots in group therapeutic games in both high- and low- functioning autistic children, such as improvement in imitation and joint attention skills for both brothers, as well as communication with each other. The results also indicated a decrease of stereotyped behaviors in the low-functioning brother, and improvement in social and cognitive skills in the high-functioning brother. © Springer International Publishing Switzerland 2015."
Social robots and teaching music to autistic children: Myth or reality?,2016,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),9979,,541-550,"Taheri, A. and Meghdari, A. and Alemi, M. and Pouretemad, H. and Poorgoldooz, P. and Roohbakhsh, M.",,"Music-based therapy is an appropriate tool to facilitate multisystem development in children with autism. The focus of this study is to implement a systematic and hierarchical music-based scenario in order to teach the fundamentals of music to children with autism through a social robot. To this end, we have programmed a NAO robot to play the xylophone and the drum. After running our designed robot-assisted clinical interventions on three high-functioning and one low functioning autistic children, fairly promising results have been observed. We indicated that the high-functioning participants have learned how to play the musical notes, short sentences, and simple rhythms. Moreover, the program affected positively on autism severity, fine movement and communication skills of the autistic subjects. The initial results observed indicate promising potentials for involving social robots in music-based autism therapy. © Springer International Publishing AG 2016."
Clinical interventions of social humanoid robots in the treatment of a pair of high- and low-functioning autistic Iranian twins,2018,Scientia Iranica,25,3,1197-1214,"Taheri, A. and Meghdari, A. and Alemi, M. and Pouretemad, H.R.",,"In this paper, the robot-assisted interventions for a pair of fraternal twins with autism, of whom one was high-functioning and the other low-functioning, are presented. Since many genetic and environmental factors were the same for both participants, the effects of individual and group robotic games on these two children with high- and lowfunctioning autism were compared. The results indicated improvement in joint attention skills for both subjects. It was further observed that robot group games had the potential to improve social skills in the subject with high-functioning autism and to lower the amount of stereotyped and detrimental behaviors in the participant with low-functioning autism. The communication of both participants with each other improved, and their mother claimed she observed her children playing a meaningful game together at home for the first time since their birth. @ 2018 Sharif University of Technology. All rights reserved. © 2018 Sharif University of Technology. All rights reserved."
A Close Look at the Imitation Performance of Children with Autism and Typically Developing Children Using a Robotic System,2020,International Journal of Social Robotics,,,,"Taheri, A. and Meghdari, A. and Mahoor, M.H.",,"Deficit in imitation skills is one of the core symptoms of children with Autism Spectrum Disorder (ASD). In this study, we have tried to look closer at the body gesture imitation performance of 20 participants with autism, i.e. ASD group, and 20 typically developing subjects, i.e. TD group, in a set of robot-child and human-child gross imitation tasks. The results of manual scoring by two specialists indicated that while the TD group showed a significantly better imitation performance than the ASD group during the tasks, both ASD and TD groups performed better in the human-child mode than the robot-child mode in our experimental setup. Next, to introduce an automated imitation assessment system, we present different mathematical models of the children’s imitation performance using some State-Image based algorithms including Acceptable Bound, Mahalanobis Distance, and Signals’ Cross-Correlations as well as Hidden Markov Models based on the time-dependent kinematics data of the participants’ joints. Among the different studied models, we observed that the “State-Image Acceptable Bound method with position, velocity, and acceleration features” is the best one. This method has a mean Pearson correlation of ~ 45%, which is fairly comparable to the related works (out of autism field) in assessing the quality of dynamic actions. Finally, for a treatment application of using artificial intelligence algorithms in automated evaluation of children’s behaviors as an unbiased and quantifiable measurement in HRI, we propose a reciprocal gross imitation human–robot interaction platform with the potential to aid in the cognitive rehabilitation of children with autism. © 2020, Springer Nature B.V."
Impacts of using a social robot to teach music to children with low-functioning autism,2021,Paladyn,12,1,256-275,"Taheri, A. and Shariati, A. and Heidari, R. and Shahab, M. and Alemi, M. and Meghdari, A.",,"This article endeavors to present the impact of conducting robot-assisted music-based intervention sessions for children with low-functioning (LF) autism. To this end, a drum/xylophone playing robot is used to teach basic concepts of how to play the instruments to four participants with LF autism during nine educational sessions. The main findings of this study are compared to similar studies conducted with children with high-functioning autism. Our main findings indicated that the stereotyped behaviors of all the subjects decreased during the course of the program with an approximate large Cohen’s d effect size. Moreover, the children showed some improvement in imitation, joint attention, and social skills from the Pre-Test to Post-Test. In addition, regarding music education, we indicated that while the children could not pass a test on the music notes or reading music phrases items because of their cognitive deficits, they showed acceptable improvements (with a large Cohen’s d effect size) in the Stambak Rhythm Reproduction Test, which means that some rhythm learning occurred for the LF participants. In addition, we indicated that parenting stress levels decreased during the program. This study presents some potential possibilities of performing robot-assisted interventions for children with LF autism. © 2021 Alireza Taheri et al.,"
